Datum,Bron,LeeftijdGroep,Type,Aantal
2020-04-18,RIVM_report_20200418,5-9,Totaal,10
2020-04-18,RIVM_report_20200418,10-14,Totaal,42
2020-04-18,RIVM_report_20200418,15-19,Totaal,232
2020-04-18,RIVM_report_20200418,20-24,Totaal,1091
2020-04-18,RIVM_report_20200418,25-29,Totaal,1462
2020-04-18,RIVM_report_20200418,30-34,Totaal,1441
2020-04-18,RIVM_report_20200418,35-39,Totaal,1245
2020-04-18,RIVM_report_20200418,40-44,Totaal,1409
2020-04-18,RIVM_report_20200418,45-49,Totaal,2066
2020-04-18,RIVM_report_20200418,50-54,Totaal,2702
2020-04-18,RIVM_report_20200418,55-59,Totaal,3015
2020-04-18,RIVM_report_20200418,60-64,Totaal,2508
2020-04-18,RIVM_report_20200418,65-69,Totaal,1880
2020-04-18,RIVM_report_20200418,70-74,Totaal,2374
2020-04-18,RIVM_report_20200418,75-79,Totaal,2637
2020-04-18,RIVM_report_20200418,80-84,Totaal,2746
2020-04-18,RIVM_report_20200418,85-89,Totaal,2653
2020-04-18,RIVM_report_20200418,90-94,Totaal,1517
2020-04-18,RIVM_report_20200418,95+,Totaal,479
2020-04-18,RIVM_report_20200418,Niet vermeld,Totaal,15
2020-04-18,RIVM_report_20200418,0-4,Ziekenhuisopname,37
2020-04-18,RIVM_report_20200418,5-9,Ziekenhuisopname,2
2020-04-18,RIVM_report_20200418,10-14,Ziekenhuisopname,6
2020-04-18,RIVM_report_20200418,15-19,Ziekenhuisopname,21
2020-04-18,RIVM_report_20200418,20-24,Ziekenhuisopname,45
2020-04-18,RIVM_report_20200418,25-29,Ziekenhuisopname,89
2020-04-18,RIVM_report_20200418,30-34,Ziekenhuisopname,111
2020-04-18,RIVM_report_20200418,35-39,Ziekenhuisopname,153
2020-04-18,RIVM_report_20200418,40-44,Ziekenhuisopname,225
2020-04-18,RIVM_report_20200418,45-49,Ziekenhuisopname,455
2020-04-18,RIVM_report_20200418,50-54,Ziekenhuisopname,678
2020-04-18,RIVM_report_20200418,55-59,Ziekenhuisopname,901
2020-04-18,RIVM_report_20200418,60-64,Ziekenhuisopname,1045
2020-04-18,RIVM_report_20200418,65-69,Ziekenhuisopname,1118
2020-04-18,RIVM_report_20200418,70-74,Ziekenhuisopname,1444
2020-04-18,RIVM_report_20200418,75-79,Ziekenhuisopname,1384
2020-04-18,RIVM_report_20200418,80-84,Ziekenhuisopname,1020
2020-04-18,RIVM_report_20200418,85-89,Ziekenhuisopname,641
2020-04-18,RIVM_report_20200418,90-94,Ziekenhuisopname,185
2020-04-18,RIVM_report_20200418,95+,Ziekenhuisopname,33
2020-04-18,RIVM_report_20200418,Niet vermeld,Ziekenhuisopname,1
2020-04-18,RIVM_report_20200418,0-4,Overleden,0
2020-04-18,RIVM_report_20200418,5-9,Overleden,0
2020-04-18,RIVM_report_20200418,10-14,Overleden,0
2020-04-18,RIVM_report_20200418,15-19,Overleden,1
2020-04-18,RIVM_report_20200418,20-24,Overleden,0
2020-04-18,RIVM_report_20200418,25-29,Overleden,3
2020-04-18,RIVM_report_20200418,30-34,Overleden,2
2020-04-18,RIVM_report_20200418,35-39,Overleden,4
2020-04-18,RIVM_report_20200418,40-44,Overleden,4
2020-04-18,RIVM_report_20200418,45-49,Overleden,9
2020-04-18,RIVM_report_20200418,50-54,Overleden,30
2020-04-18,RIVM_report_20200418,55-59,Overleden,53
2020-04-18,RIVM_report_20200418,60-64,Overleden,104
2020-04-18,RIVM_report_20200418,65-69,Overleden,221
2020-04-18,RIVM_report_20200418,70-74,Overleden,395
2020-04-18,RIVM_report_20200418,75-79,Overleden,667
2020-04-18,RIVM_report_20200418,80-84,Overleden,796
2020-04-18,RIVM_report_20200418,85-89,Overleden,768
2020-04-18,RIVM_report_20200418,90-94,Overleden,405
2020-04-18,RIVM_report_20200418,95+,Overleden,138
2020-04-18,RIVM_report_20200418,Niet vermeld,Overleden,1
2020-04-19,RIVM_report_20200419,0-4,Totaal,67
2020-04-19,RIVM_report_20200419,5-9,Totaal,11
2020-04-19,RIVM_report_20200419,10-14,Totaal,43
2020-04-19,RIVM_report_20200419,15-19,Totaal,253
2020-04-19,RIVM_report_20200419,20-24,Totaal,1164
2020-04-19,RIVM_report_20200419,25-29,Totaal,1520
2020-04-19,RIVM_report_20200419,30-34,Totaal,1489
2020-04-19,RIVM_report_20200419,35-39,Totaal,1303
2020-04-19,RIVM_report_20200419,40-44,Totaal,1464
2020-04-19,RIVM_report_20200419,45-49,Totaal,2153
2020-04-19,RIVM_report_20200419,50-54,Totaal,2816
2020-04-19,RIVM_report_20200419,55-59,Totaal,3134
2020-04-19,RIVM_report_20200419,60-64,Totaal,2596
2020-04-19,RIVM_report_20200419,65-69,Totaal,1906
2020-04-19,RIVM_report_20200419,70-74,Totaal,2404
2020-04-19,RIVM_report_20200419,75-79,Totaal,2682
2020-04-19,RIVM_report_20200419,80-84,Totaal,2824
2020-04-19,RIVM_report_20200419,85-89,Totaal,2740
2020-04-19,RIVM_report_20200419,90-94,Totaal,1568
2020-04-19,RIVM_report_20200419,95+,Totaal,503
2020-04-19,RIVM_report_20200419,Niet vermeld,Totaal,15
2020-04-19,RIVM_report_20200419,0-4,Ziekenhuisopname,38
2020-04-19,RIVM_report_20200419,5-9,Ziekenhuisopname,2
2020-04-19,RIVM_report_20200419,10-14,Ziekenhuisopname,6
2020-04-19,RIVM_report_20200419,15-19,Ziekenhuisopname,22
2020-04-19,RIVM_report_20200419,20-24,Ziekenhuisopname,45
2020-04-19,RIVM_report_20200419,25-29,Ziekenhuisopname,89
2020-04-19,RIVM_report_20200419,30-34,Ziekenhuisopname,115
2020-04-19,RIVM_report_20200419,35-39,Ziekenhuisopname,155
2020-04-19,RIVM_report_20200419,40-44,Ziekenhuisopname,230
2020-04-19,RIVM_report_20200419,45-49,Ziekenhuisopname,461
2020-04-19,RIVM_report_20200419,50-54,Ziekenhuisopname,687
2020-04-19,RIVM_report_20200419,55-59,Ziekenhuisopname,911
2020-04-19,RIVM_report_20200419,60-64,Ziekenhuisopname,1056
2020-04-19,RIVM_report_20200419,65-69,Ziekenhuisopname,1133
2020-04-19,RIVM_report_20200419,70-74,Ziekenhuisopname,1454
2020-04-19,RIVM_report_20200419,75-79,Ziekenhuisopname,1398
2020-04-19,RIVM_report_20200419,80-84,Ziekenhuisopname,1031
2020-04-19,RIVM_report_20200419,85-89,Ziekenhuisopname,646
2020-04-19,RIVM_report_20200419,90-94,Ziekenhuisopname,189
2020-04-19,RIVM_report_20200419,95+,Ziekenhuisopname,35
2020-04-19,RIVM_report_20200419,Niet vermeld,Ziekenhuisopname,1
2020-04-19,RIVM_report_20200419,0-4,Overleden,0
2020-04-19,RIVM_report_20200419,5-9,Overleden,0
2020-04-19,RIVM_report_20200419,10-14,Overleden,0
2020-04-19,RIVM_report_20200419,15-19,Overleden,1
2020-04-19,RIVM_report_20200419,20-24,Overleden,0
2020-04-19,RIVM_report_20200419,25-29,Overleden,3
2020-04-19,RIVM_report_20200419,30-34,Overleden,2
2020-04-19,RIVM_report_20200419,35-39,Overleden,4
2020-04-19,RIVM_report_20200419,40-44,Overleden,4
2020-04-19,RIVM_report_20200419,45-49,Overleden,9
2020-04-19,RIVM_report_20200419,50-54,Overleden,31
2020-04-19,RIVM_report_20200419,55-59,Overleden,56
2020-04-19,RIVM_report_20200419,60-64,Overleden,107
2020-04-19,RIVM_report_20200419,65-69,Overleden,225
2020-04-19,RIVM_report_20200419,70-74,Overleden,405
2020-04-19,RIVM_report_20200419,75-79,Overleden,679
2020-04-19,RIVM_report_20200419,80-84,Overleden,808
2020-04-19,RIVM_report_20200419,85-89,Overleden,786
2020-04-19,RIVM_report_20200419,90-94,Overleden,419
2020-04-19,RIVM_report_20200419,95+,Overleden,144
2020-04-19,RIVM_report_20200419,Niet vermeld,Overleden,1
2020-04-20,RIVM_report_20200420,0-4,Totaal,70
2020-04-20,RIVM_report_20200420,5-9,Totaal,11
2020-04-20,RIVM_report_20200420,10-14,Totaal,43
2020-04-20,RIVM_report_20200420,15-19,Totaal,264
2020-04-20,RIVM_report_20200420,20-24,Totaal,1215
2020-04-20,RIVM_report_20200420,25-29,Totaal,1563
2020-04-20,RIVM_report_20200420,30-34,Totaal,1527
2020-04-20,RIVM_report_20200420,35-39,Totaal,1340
2020-04-20,RIVM_report_20200420,40-44,Totaal,1502
2020-04-20,RIVM_report_20200420,45-49,Totaal,2209
2020-04-20,RIVM_report_20200420,50-54,Totaal,2898
2020-04-20,RIVM_report_20200420,55-59,Totaal,3220
2020-04-20,RIVM_report_20200420,60-64,Totaal,2656
2020-04-20,RIVM_report_20200420,65-69,Totaal,1924
2020-04-20,RIVM_report_20200420,70-74,Totaal,2422
2020-04-20,RIVM_report_20200420,75-79,Totaal,2724
2020-04-20,RIVM_report_20200420,80-84,Totaal,2881
2020-04-20,RIVM_report_20200420,85-89,Totaal,2797
2020-04-20,RIVM_report_20200420,90-94,Totaal,1605
2020-04-20,RIVM_report_20200420,95+,Totaal,519
2020-04-20,RIVM_report_20200420,Niet vermeld,Totaal,15
2020-04-20,RIVM_report_20200420,0-4,Ziekenhuisopname,38
2020-04-20,RIVM_report_20200420,5-9,Ziekenhuisopname,2
2020-04-20,RIVM_report_20200420,10-14,Ziekenhuisopname,6
2020-04-20,RIVM_report_20200420,15-19,Ziekenhuisopname,23
2020-04-20,RIVM_report_20200420,20-24,Ziekenhuisopname,45
2020-04-20,RIVM_report_20200420,25-29,Ziekenhuisopname,91
2020-04-20,RIVM_report_20200420,30-34,Ziekenhuisopname,116
2020-04-20,RIVM_report_20200420,35-39,Ziekenhuisopname,157
2020-04-20,RIVM_report_20200420,40-44,Ziekenhuisopname,233
2020-04-20,RIVM_report_20200420,45-49,Ziekenhuisopname,463
2020-04-20,RIVM_report_20200420,50-54,Ziekenhuisopname,694
2020-04-20,RIVM_report_20200420,55-59,Ziekenhuisopname,918
2020-04-20,RIVM_report_20200420,60-64,Ziekenhuisopname,1070
2020-04-20,RIVM_report_20200420,65-69,Ziekenhuisopname,1137
2020-04-20,RIVM_report_20200420,70-74,Ziekenhuisopname,1458
2020-04-20,RIVM_report_20200420,75-79,Ziekenhuisopname,1404
2020-04-20,RIVM_report_20200420,80-84,Ziekenhuisopname,1041
2020-04-20,RIVM_report_20200420,85-89,Ziekenhuisopname,655
2020-04-20,RIVM_report_20200420,90-94,Ziekenhuisopname,192
2020-04-20,RIVM_report_20200420,95+,Ziekenhuisopname,35
2020-04-20,RIVM_report_20200420,Niet vermeld,Ziekenhuisopname,1
2020-04-20,RIVM_report_20200420,0-4,Overleden,0
2020-04-20,RIVM_report_20200420,5-9,Overleden,0
2020-04-20,RIVM_report_20200420,10-14,Overleden,0
2020-04-20,RIVM_report_20200420,15-19,Overleden,1
2020-04-20,RIVM_report_20200420,20-24,Overleden,0
2020-04-20,RIVM_report_20200420,25-29,Overleden,3
2020-04-20,RIVM_report_20200420,30-34,Overleden,2
2020-04-20,RIVM_report_20200420,35-39,Overleden,4
2020-04-20,RIVM_report_20200420,40-44,Overleden,4
2020-04-20,RIVM_report_20200420,45-49,Overleden,9
2020-04-20,RIVM_report_20200420,50-54,Overleden,31
2020-04-20,RIVM_report_20200420,55-59,Overleden,59
2020-04-20,RIVM_report_20200420,60-64,Overleden,108
2020-04-20,RIVM_report_20200420,65-69,Overleden,226
2020-04-20,RIVM_report_20200420,70-74,Overleden,416
2020-04-20,RIVM_report_20200420,75-79,Overleden,696
2020-04-20,RIVM_report_20200420,80-84,Overleden,817
2020-04-20,RIVM_report_20200420,85-89,Overleden,799
2020-04-20,RIVM_report_20200420,90-94,Overleden,427
2020-04-20,RIVM_report_20200420,95+,Overleden,148
2020-04-20,RIVM_report_20200420,Niet vermeld,Overleden,1
2020-04-21,RIVM_report_20200421,0-4,Totaal,69
2020-04-21,RIVM_report_20200421,5-9,Totaal,11
2020-04-21,RIVM_report_20200421,10-14,Totaal,44
2020-04-21,RIVM_report_20200421,15-19,Totaal,276
2020-04-21,RIVM_report_20200421,20-24,Totaal,1255
2020-04-21,RIVM_report_20200421,25-29,Totaal,1613
2020-04-21,RIVM_report_20200421,30-34,Totaal,1555
2020-04-21,RIVM_report_20200421,35-39,Totaal,1374
2020-04-21,RIVM_report_20200421,40-44,Totaal,1539
2020-04-21,RIVM_report_20200421,45-49,Totaal,2263
2020-04-21,RIVM_report_20200421,50-54,Totaal,2975
2020-04-21,RIVM_report_20200421,55-59,Totaal,3292
2020-04-21,RIVM_report_20200421,60-64,Totaal,2706
2020-04-21,RIVM_report_20200421,65-69,Totaal,1935
2020-04-21,RIVM_report_20200421,70-74,Totaal,2444
2020-04-21,RIVM_report_20200421,75-79,Totaal,2763
2020-04-21,RIVM_report_20200421,80-84,Totaal,2944
2020-04-21,RIVM_report_20200421,85-89,Totaal,2869
2020-04-21,RIVM_report_20200421,90-94,Totaal,1652
2020-04-21,RIVM_report_20200421,95+,Totaal,540
2020-04-21,RIVM_report_20200421,Niet vermeld,Totaal,15
2020-04-21,RIVM_report_20200421,0-4,Ziekenhuisopname,38
2020-04-21,RIVM_report_20200421,5-9,Ziekenhuisopname,2
2020-04-21,RIVM_report_20200421,10-14,Ziekenhuisopname,7
2020-04-21,RIVM_report_20200421,15-19,Ziekenhuisopname,23
2020-04-21,RIVM_report_20200421,20-24,Ziekenhuisopname,45
2020-04-21,RIVM_report_20200421,25-29,Ziekenhuisopname,93
2020-04-21,RIVM_report_20200421,30-34,Ziekenhuisopname,119
2020-04-21,RIVM_report_20200421,35-39,Ziekenhuisopname,161
2020-04-21,RIVM_report_20200421,40-44,Ziekenhuisopname,236
2020-04-21,RIVM_report_20200421,45-49,Ziekenhuisopname,472
2020-04-21,RIVM_report_20200421,50-54,Ziekenhuisopname,700
2020-04-21,RIVM_report_20200421,55-59,Ziekenhuisopname,930
2020-04-21,RIVM_report_20200421,60-64,Ziekenhuisopname,1087
2020-04-21,RIVM_report_20200421,65-69,Ziekenhuisopname,1142
2020-04-21,RIVM_report_20200421,70-74,Ziekenhuisopname,1474
2020-04-21,RIVM_report_20200421,75-79,Ziekenhuisopname,1413
2020-04-21,RIVM_report_20200421,80-84,Ziekenhuisopname,1056
2020-04-21,RIVM_report_20200421,85-89,Ziekenhuisopname,668
2020-04-21,RIVM_report_20200421,90-94,Ziekenhuisopname,195
2020-04-21,RIVM_report_20200421,95+,Ziekenhuisopname,35
2020-04-21,RIVM_report_20200421,Niet vermeld,Ziekenhuisopname,1
2020-04-21,RIVM_report_20200421,0-4,Overleden,0
2020-04-21,RIVM_report_20200421,5-9,Overleden,0
2020-04-21,RIVM_report_20200421,10-14,Overleden,0
2020-04-21,RIVM_report_20200421,15-19,Overleden,1
2020-04-21,RIVM_report_20200421,20-24,Overleden,0
2020-04-21,RIVM_report_20200421,25-29,Overleden,3
2020-04-21,RIVM_report_20200421,30-34,Overleden,2
2020-04-21,RIVM_report_20200421,35-39,Overleden,4
2020-04-21,RIVM_report_20200421,40-44,Overleden,4
2020-04-21,RIVM_report_20200421,45-49,Overleden,11
2020-04-21,RIVM_report_20200421,50-54,Overleden,31
2020-04-21,RIVM_report_20200421,55-59,Overleden,61
2020-04-21,RIVM_report_20200421,60-64,Overleden,111
2020-04-21,RIVM_report_20200421,65-69,Overleden,232
2020-04-21,RIVM_report_20200421,70-74,Overleden,432
2020-04-21,RIVM_report_20200421,75-79,Overleden,720
2020-04-21,RIVM_report_20200421,80-84,Overleden,851
2020-04-21,RIVM_report_20200421,85-89,Overleden,832
2020-04-21,RIVM_report_20200421,90-94,Overleden,460
2020-04-21,RIVM_report_20200421,95+,Overleden,160
2020-04-21,RIVM_report_20200421,Niet vermeld,Overleden,1
2020-04-22,RIVM_report_20200422,0-4,Totaal,70
2020-04-22,RIVM_report_20200422,5-9,Totaal,11
2020-04-22,RIVM_report_20200422,10-14,Totaal,44
2020-04-22,RIVM_report_20200422,15-19,Totaal,285
2020-04-22,RIVM_report_20200422,20-24,Totaal,1293
2020-04-22,RIVM_report_20200422,25-29,Totaal,1655
2020-04-22,RIVM_report_20200422,30-34,Totaal,1578
2020-04-22,RIVM_report_20200422,35-39,Totaal,1398
2020-04-22,RIVM_report_20200422,40-44,Totaal,1569
2020-04-22,RIVM_report_20200422,45-49,Totaal,2315
2020-04-22,RIVM_report_20200422,50-54,Totaal,3046
2020-04-22,RIVM_report_20200422,55-59,Totaal,3366
2020-04-22,RIVM_report_20200422,60-64,Totaal,2752
2020-04-22,RIVM_report_20200422,65-69,Totaal,1968
2020-04-22,RIVM_report_20200422,70-74,Totaal,2477
2020-04-22,RIVM_report_20200422,75-79,Totaal,2803
2020-04-22,RIVM_report_20200422,80-84,Totaal,3000
2020-04-22,RIVM_report_20200422,85-89,Totaal,2934
2020-04-22,RIVM_report_20200422,90-94,Totaal,1702
2020-04-22,RIVM_report_20200422,95+,Totaal,563
2020-04-22,RIVM_report_20200422,Niet vermeld,Totaal,13
2020-04-22,RIVM_report_20200422,0-4,Ziekenhuisopname,39
2020-04-22,RIVM_report_20200422,5-9,Ziekenhuisopname,2
2020-04-22,RIVM_report_20200422,10-14,Ziekenhuisopname,7
2020-04-22,RIVM_report_20200422,15-19,Ziekenhuisopname,23
2020-04-22,RIVM_report_20200422,20-24,Ziekenhuisopname,46
2020-04-22,RIVM_report_20200422,25-29,Ziekenhuisopname,93
2020-04-22,RIVM_report_20200422,30-34,Ziekenhuisopname,119
2020-04-22,RIVM_report_20200422,35-39,Ziekenhuisopname,161
2020-04-22,RIVM_report_20200422,40-44,Ziekenhuisopname,239
2020-04-22,RIVM_report_20200422,45-49,Ziekenhuisopname,476
2020-04-22,RIVM_report_20200422,50-54,Ziekenhuisopname,712
2020-04-22,RIVM_report_20200422,55-59,Ziekenhuisopname,941
2020-04-22,RIVM_report_20200422,60-64,Ziekenhuisopname,1097
2020-04-22,RIVM_report_20200422,65-69,Ziekenhuisopname,1167
2020-04-22,RIVM_report_20200422,70-74,Ziekenhuisopname,1490
2020-04-22,RIVM_report_20200422,75-79,Ziekenhuisopname,1429
2020-04-22,RIVM_report_20200422,80-84,Ziekenhuisopname,1067
2020-04-22,RIVM_report_20200422,85-89,Ziekenhuisopname,678
2020-04-22,RIVM_report_20200422,90-94,Ziekenhuisopname,200
2020-04-22,RIVM_report_20200422,95+,Ziekenhuisopname,34
2020-04-22,RIVM_report_20200422,Niet vermeld,Ziekenhuisopname,1
2020-04-22,RIVM_report_20200422,0-4,Overleden,0
2020-04-22,RIVM_report_20200422,5-9,Overleden,0
2020-04-22,RIVM_report_20200422,10-14,Overleden,0
2020-04-22,RIVM_report_20200422,15-19,Overleden,1
2020-04-22,RIVM_report_20200422,20-24,Overleden,0
2020-04-22,RIVM_report_20200422,25-29,Overleden,3
2020-04-22,RIVM_report_20200422,30-34,Overleden,2
2020-04-22,RIVM_report_20200422,35-39,Overleden,4
2020-04-22,RIVM_report_20200422,40-44,Overleden,4
2020-04-22,RIVM_report_20200422,45-49,Overleden,14
2020-04-22,RIVM_report_20200422,50-54,Overleden,31
2020-04-22,RIVM_report_20200422,55-59,Overleden,63
2020-04-22,RIVM_report_20200422,60-64,Overleden,115
2020-04-22,RIVM_report_20200422,65-69,Overleden,238
2020-04-22,RIVM_report_20200422,70-74,Overleden,446
2020-04-22,RIVM_report_20200422,75-79,Overleden,740
2020-04-22,RIVM_report_20200422,80-84,Overleden,875
2020-04-22,RIVM_report_20200422,85-89,Overleden,866
2020-04-22,RIVM_report_20200422,90-94,Overleden,485
2020-04-22,RIVM_report_20200422,95+,Overleden,166
2020-04-22,RIVM_report_20200422,Niet vermeld,Overleden,1
2020-04-23,RIVM_report_20200423,0-4,Totaal,70
2020-04-23,RIVM_report_20200423,5-9,Totaal,11
2020-04-23,RIVM_report_20200423,10-14,Totaal,46
2020-04-23,RIVM_report_20200423,15-19,Totaal,311
2020-04-23,RIVM_report_20200423,20-24,Totaal,1333
2020-04-23,RIVM_report_20200423,25-29,Totaal,1700
2020-04-23,RIVM_report_20200423,30-34,Totaal,1617
2020-04-23,RIVM_report_20200423,35-39,Totaal,1437
2020-04-23,RIVM_report_20200423,40-44,Totaal,1616
2020-04-23,RIVM_report_20200423,45-49,Totaal,2379
2020-04-23,RIVM_report_20200423,50-54,Totaal,3126
2020-04-23,RIVM_report_20200423,55-59,Totaal,3466
2020-04-23,RIVM_report_20200423,60-64,Totaal,2829
2020-04-23,RIVM_report_20200423,65-69,Totaal,1998
2020-04-23,RIVM_report_20200423,70-74,Totaal,2505
2020-04-23,RIVM_report_20200423,75-79,Totaal,2853
2020-04-23,RIVM_report_20200423,80-84,Totaal,3068
2020-04-23,RIVM_report_20200423,85-89,Totaal,3010
2020-04-23,RIVM_report_20200423,90-94,Totaal,1760
2020-04-23,RIVM_report_20200423,95+,Totaal,581
2020-04-23,RIVM_report_20200423,Niet vermeld,Totaal,13
2020-04-23,RIVM_report_20200423,0-4,Ziekenhuisopname,39
2020-04-23,RIVM_report_20200423,5-9,Ziekenhuisopname,2
2020-04-23,RIVM_report_20200423,10-14,Ziekenhuisopname,7
2020-04-23,RIVM_report_20200423,15-19,Ziekenhuisopname,23
2020-04-23,RIVM_report_20200423,20-24,Ziekenhuisopname,46
2020-04-23,RIVM_report_20200423,25-29,Ziekenhuisopname,94
2020-04-23,RIVM_report_20200423,30-34,Ziekenhuisopname,123
2020-04-23,RIVM_report_20200423,35-39,Ziekenhuisopname,162
2020-04-23,RIVM_report_20200423,40-44,Ziekenhuisopname,243
2020-04-23,RIVM_report_20200423,45-49,Ziekenhuisopname,483
2020-04-23,RIVM_report_20200423,50-54,Ziekenhuisopname,719
2020-04-23,RIVM_report_20200423,55-59,Ziekenhuisopname,961
2020-04-23,RIVM_report_20200423,60-64,Ziekenhuisopname,1111
2020-04-23,RIVM_report_20200423,65-69,Ziekenhuisopname,1188
2020-04-23,RIVM_report_20200423,70-74,Ziekenhuisopname,1510
2020-04-23,RIVM_report_20200423,75-79,Ziekenhuisopname,1445
2020-04-23,RIVM_report_20200423,80-84,Ziekenhuisopname,1083
2020-04-23,RIVM_report_20200423,85-89,Ziekenhuisopname,684
2020-04-23,RIVM_report_20200423,90-94,Ziekenhuisopname,200
2020-04-23,RIVM_report_20200423,95+,Ziekenhuisopname,34
2020-04-23,RIVM_report_20200423,Niet vermeld,Ziekenhuisopname,1
2020-04-23,RIVM_report_20200423,0-4,Overleden,0
2020-04-23,RIVM_report_20200423,5-9,Overleden,0
2020-04-23,RIVM_report_20200423,10-14,Overleden,0
2020-04-23,RIVM_report_20200423,15-19,Overleden,1
2020-04-23,RIVM_report_20200423,20-24,Overleden,0
2020-04-23,RIVM_report_20200423,25-29,Overleden,3
2020-04-23,RIVM_report_20200423,30-34,Overleden,3
2020-04-23,RIVM_report_20200423,35-39,Overleden,5
2020-04-23,RIVM_report_20200423,40-44,Overleden,4
2020-04-23,RIVM_report_20200423,45-49,Overleden,14
2020-04-23,RIVM_report_20200423,50-54,Overleden,32
2020-04-23,RIVM_report_20200423,55-59,Overleden,64
2020-04-23,RIVM_report_20200423,60-64,Overleden,118
2020-04-23,RIVM_report_20200423,65-69,Overleden,242
2020-04-23,RIVM_report_20200423,70-74,Overleden,460
2020-04-23,RIVM_report_20200423,75-79,Overleden,751
2020-04-23,RIVM_report_20200423,80-84,Overleden,896
2020-04-23,RIVM_report_20200423,85-89,Overleden,902
2020-04-23,RIVM_report_20200423,90-94,Overleden,508
2020-04-23,RIVM_report_20200423,95+,Overleden,173
2020-04-23,RIVM_report_20200423,Niet vermeld,Overleden,1
2020-04-24,RIVM_report_20200424,0-4,Totaal,72
2020-04-24,RIVM_report_20200424,5-9,Totaal,11
2020-04-24,RIVM_report_20200424,10-14,Totaal,46
2020-04-24,RIVM_report_20200424,15-19,Totaal,326
2020-04-24,RIVM_report_20200424,20-24,Totaal,1378
2020-04-24,RIVM_report_20200424,25-29,Totaal,1738
2020-04-24,RIVM_report_20200424,30-34,Totaal,1665
2020-04-24,RIVM_report_20200424,35-39,Totaal,1464
2020-04-24,RIVM_report_20200424,40-44,Totaal,1663
2020-04-24,RIVM_report_20200424,45-49,Totaal,2449
2020-04-24,RIVM_report_20200424,50-54,Totaal,3199
2020-04-24,RIVM_report_20200424,55-59,Totaal,3568
2020-04-24,RIVM_report_20200424,60-64,Totaal,2892
2020-04-24,RIVM_report_20200424,65-69,Totaal,2020
2020-04-24,RIVM_report_20200424,70-74,Totaal,2530
2020-04-24,RIVM_report_20200424,75-79,Totaal,2883
2020-04-24,RIVM_report_20200424,80-84,Totaal,3115
2020-04-24,RIVM_report_20200424,85-89,Totaal,3084
2020-04-24,RIVM_report_20200424,90-94,Totaal,1818
2020-04-24,RIVM_report_20200424,95+,Totaal,602
2020-04-24,RIVM_report_20200424,Niet vermeld,Totaal,12
2020-04-24,RIVM_report_20200424,0-4,Ziekenhuisopname,39
2020-04-24,RIVM_report_20200424,5-9,Ziekenhuisopname,2
2020-04-24,RIVM_report_20200424,10-14,Ziekenhuisopname,7
2020-04-24,RIVM_report_20200424,15-19,Ziekenhuisopname,23
2020-04-24,RIVM_report_20200424,20-24,Ziekenhuisopname,46
2020-04-24,RIVM_report_20200424,25-29,Ziekenhuisopname,95
2020-04-24,RIVM_report_20200424,30-34,Ziekenhuisopname,127
2020-04-24,RIVM_report_20200424,35-39,Ziekenhuisopname,163
2020-04-24,RIVM_report_20200424,40-44,Ziekenhuisopname,249
2020-04-24,RIVM_report_20200424,45-49,Ziekenhuisopname,498
2020-04-24,RIVM_report_20200424,50-54,Ziekenhuisopname,734
2020-04-24,RIVM_report_20200424,55-59,Ziekenhuisopname,977
2020-04-24,RIVM_report_20200424,60-64,Ziekenhuisopname,1128
2020-04-24,RIVM_report_20200424,65-69,Ziekenhuisopname,1199
2020-04-24,RIVM_report_20200424,70-74,Ziekenhuisopname,1519
2020-04-24,RIVM_report_20200424,75-79,Ziekenhuisopname,1452
2020-04-24,RIVM_report_20200424,80-84,Ziekenhuisopname,1091
2020-04-24,RIVM_report_20200424,85-89,Ziekenhuisopname,691
2020-04-24,RIVM_report_20200424,90-94,Ziekenhuisopname,204
2020-04-24,RIVM_report_20200424,95+,Ziekenhuisopname,36
2020-04-24,RIVM_report_20200424,Niet vermeld,Ziekenhuisopname,1
2020-04-24,RIVM_report_20200424,0-4,Overleden,0
2020-04-24,RIVM_report_20200424,5-9,Overleden,0
2020-04-24,RIVM_report_20200424,10-14,Overleden,0
2020-04-24,RIVM_report_20200424,15-19,Overleden,1
2020-04-24,RIVM_report_20200424,20-24,Overleden,0
2020-04-24,RIVM_report_20200424,25-29,Overleden,3
2020-04-24,RIVM_report_20200424,30-34,Overleden,3
2020-04-24,RIVM_report_20200424,35-39,Overleden,5
2020-04-24,RIVM_report_20200424,40-44,Overleden,4
2020-04-24,RIVM_report_20200424,45-49,Overleden,15
2020-04-24,RIVM_report_20200424,50-54,Overleden,32
2020-04-24,RIVM_report_20200424,55-59,Overleden,70
2020-04-24,RIVM_report_20200424,60-64,Overleden,120
2020-04-24,RIVM_report_20200424,65-69,Overleden,250
2020-04-24,RIVM_report_20200424,70-74,Overleden,472
2020-04-24,RIVM_report_20200424,75-79,Overleden,768
2020-04-24,RIVM_report_20200424,80-84,Overleden,912
2020-04-24,RIVM_report_20200424,85-89,Overleden,931
2020-04-24,RIVM_report_20200424,90-94,Overleden,524
2020-04-24,RIVM_report_20200424,95+,Overleden,178
2020-04-24,RIVM_report_20200424,Niet vermeld,Overleden,1
2020-04-25,RIVM_report_20200425,0-4,Totaal,68
2020-04-25,RIVM_report_20200425,5-9,Totaal,12
2020-04-25,RIVM_report_20200425,10-14,Totaal,48
2020-04-25,RIVM_report_20200425,15-19,Totaal,333
