Datum,Type,AantalCumulatief
2020-06-20,Chronische longaandoeningen,114
2020-06-20,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-20,Diabetes,125
2020-06-20,Immuundeficientie,9
2020-06-20,Leveraandoening,17
2020-06-20,Maligniteit,74
2020-06-20,Nieraandoening,41
2020-06-20,Overig,165
2020-06-20,Postpartum,0
2020-06-20,Zwangerschap,0
2020-06-21,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-21,Chronische longaandoeningen,114
2020-06-21,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-21,Diabetes,125
2020-06-21,Immuundeficientie,9
2020-06-21,Leveraandoening,17
2020-06-21,Maligniteit,74
2020-06-21,Nieraandoening,41
2020-06-21,Overig,165
2020-06-21,Postpartum,0
2020-06-21,Zwangerschap,0
2020-06-22,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-22,Chronische longaandoeningen,114
2020-06-22,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-22,Diabetes,125
2020-06-22,Immuundeficientie,9
2020-06-22,Leveraandoening,17
2020-06-22,Maligniteit,74
2020-06-22,Nieraandoening,41
2020-06-22,Overig,165
2020-06-22,Postpartum,0
2020-06-22,Zwangerschap,0
2020-06-23,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-23,Chronische longaandoeningen,114
2020-06-23,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-23,Diabetes,125
2020-06-23,Immuundeficientie,9
2020-06-23,Leveraandoening,17
2020-06-23,Maligniteit,74
2020-06-23,Nieraandoening,41
2020-06-23,Overig,165
2020-06-23,Postpartum,0
2020-06-23,Zwangerschap,0
2020-06-24,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-24,Chronische longaandoeningen,114
2020-06-24,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-24,Diabetes,125
2020-06-24,Immuundeficientie,9
2020-06-24,Leveraandoening,17
2020-06-24,Maligniteit,74
2020-06-24,Nieraandoening,41
2020-06-24,Overig,165
2020-06-24,Postpartum,0
2020-06-24,Zwangerschap,0
2020-06-25,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-25,Chronische longaandoeningen,114
2020-06-25,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-25,Diabetes,125
2020-06-25,Immuundeficientie,9
2020-06-25,Leveraandoening,17
2020-06-25,Maligniteit,74
2020-06-25,Nieraandoening,41
2020-06-25,Overig,165
2020-06-25,Postpartum,0
2020-06-25,Zwangerschap,0
2020-06-26,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-26,Chronische longaandoeningen,114
2020-06-26,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-26,Diabetes,125
2020-06-26,Immuundeficientie,9
2020-06-26,Leveraandoening,17
2020-06-26,Maligniteit,74
2020-06-26,Nieraandoening,41
2020-06-26,Overig,165
2020-06-26,Postpartum,0
2020-06-26,Zwangerschap,0
2020-06-27,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-27,Chronische longaandoeningen,114
2020-06-27,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-27,Diabetes,125
2020-06-27,Immuundeficientie,9
2020-06-27,Leveraandoening,17
2020-06-27,Maligniteit,74
2020-06-27,Nieraandoening,41
2020-06-27,Overig,187
2020-06-27,Postpartum,0
2020-06-27,Zwangerschap,0
2020-06-28,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-28,Chronische longaandoeningen,114
2020-06-28,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-28,Diabetes,125
2020-06-28,Immuundeficientie,9
2020-06-28,Leveraandoening,17
2020-06-28,Maligniteit,74
2020-06-28,Nieraandoening,41
2020-06-28,Overig,187
2020-06-28,Postpartum,0
2020-06-28,Zwangerschap,0
2020-06-29,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-29,Chronische longaandoeningen,114
2020-06-29,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-29,Diabetes,125
2020-06-29,Immuundeficientie,9
2020-06-29,Leveraandoening,17
2020-06-29,Maligniteit,74
2020-06-29,Nieraandoening,41
2020-06-29,Overig,187
2020-06-29,Postpartum,0
2020-06-29,Zwangerschap,0
2020-06-30,Cardio-vasculaire aandoeningen en hypertensie,209
2020-06-30,Chronische longaandoeningen,114
2020-06-30,Chronische neurologische of neuromusculaire aandoeningen,71
2020-06-30,Dementie/Alzheimer,29
2020-06-30,Diabetes,125
2020-06-30,Immuundeficientie,9
2020-06-30,Leveraandoening,17
2020-06-30,Maligniteit,74
2020-06-30,Nieraandoening,41
2020-06-30,Obesitas,34
2020-06-30,Overig,119
2020-06-30,Parkinson,5
2020-06-30,Postpartum,0
2020-06-30,Zwangerschap,0
2020-07-07,Cardio-vasculaire aandoeningen en hypertensie,209
2020-07-07,Chronische longaandoeningen,114
2020-07-07,Chronische neurologische of neuromusculaire aandoeningen,71
2020-07-07,Dementie/Alzheimer,29
2020-07-07,Diabetes,125
2020-07-07,Immuundeficientie,9
2020-07-07,Leveraandoening,17
2020-07-07,Maligniteit,76
2020-07-07,Nieraandoening,41
2020-07-07,Obesitas,34
2020-07-07,Overig,120
2020-07-07,Parkinson,5
2020-07-07,Postpartum,0
2020-07-07,Zwangerschap,0
2020-07-14,Cardio-vasculaire aandoeningen en hypertensie,210
2020-07-14,Chronische longaandoeningen,114
2020-07-14,Chronische neurologische of neuromusculaire aandoeningen,71
2020-07-14,Dementie/Alzheimer,29
2020-07-14,Diabetes,125
2020-07-14,Immuundeficientie,9
2020-07-14,Leveraandoening,17
2020-07-14,Maligniteit,76
2020-07-14,Nieraandoening,41
2020-07-14,Obesitas,35
2020-07-14,Overig,120
2020-07-14,Parkinson,5
2020-07-14,Postpartum,0
2020-07-14,Zwangerschap,0
2020-07-21,Cardio-vasculaire aandoeningen en hypertensie,209
2020-07-21,Chronische longaandoeningen,113
2020-07-21,Chronische neurologische of neuromusculaire aandoeningen,71
2020-07-21,Dementie/Alzheimer,29
2020-07-21,Diabetes,125
2020-07-21,Immuundeficientie,8
2020-07-21,Leveraandoening,17
2020-07-21,Maligniteit,76
2020-07-21,Nieraandoening,41
2020-07-21,Obesitas,35
2020-07-21,Overig,120
2020-07-21,Parkinson,5
2020-07-21,Postpartum,0
2020-07-21,Zwangerschap,0
2020-07-28,Cardio-vasculaire aandoeningen en hypertensie,209
2020-07-28,Chronische longaandoeningen,114
2020-07-28,Chronische neurologische of neuromusculaire aandoeningen,71
2020-07-28,Dementie/Alzheimer,29
2020-07-28,Diabetes,125
2020-07-28,Immuundeficientie,8
2020-07-28,Leveraandoening,17
2020-07-28,Maligniteit,76
2020-07-28,Nieraandoening,41
2020-07-28,Obesitas,35
2020-07-28,Overig,120
2020-07-28,Parkinson,5
2020-07-28,Postpartum,0
2020-07-28,Zwangerschap,0
2020-08-04,Cardio-vasculaire aandoeningen en hypertensie,208
2020-08-04,Chronische longaandoeningen,114
2020-08-04,Chronische neurologische of neuromusculaire aandoeningen,71
2020-08-04,Dementie/Alzheimer,29
2020-08-04,Diabetes,124
2020-08-04,Immuundeficientie,8
2020-08-04,Leveraandoening,17
2020-08-04,Maligniteit,76
2020-08-04,Nieraandoening,41
2020-08-04,Obesitas,35
2020-08-04,Overig,120
2020-08-04,Parkinson,5
2020-08-04,Postpartum,0
2020-08-04,Zwangerschap,0
2020-08-11,Cardio-vasculaire aandoeningen en hypertensie,208
2020-08-11,Chronische longaandoeningen,114
2020-08-11,Chronische neurologische of neuromusculaire aandoeningen,71
2020-08-11,Dementie/Alzheimer,29
2020-08-11,Diabetes,124
2020-08-11,Immuundeficientie,8
2020-08-11,Leveraandoening,17
2020-08-11,Maligniteit,76
2020-08-11,Nieraandoening,41
2020-08-11,Obesitas,35
2020-08-11,Overig,120
2020-08-11,Parkinson,5
2020-08-11,Postpartum,0
2020-08-11,Zwangerschap,0
2020-08-18,Cardio-vasculaire aandoeningen en hypertensie,210
2020-08-18,Chronische longaandoeningen,114
2020-08-18,Chronische neurologische of neuromusculaire aandoeningen,71
2020-08-18,Dementie/Alzheimer,29
2020-08-18,Diabetes,125
2020-08-18,Immuundeficientie,8
2020-08-18,Leveraandoening,18
2020-08-18,Maligniteit,76
2020-08-18,Nieraandoening,42
2020-08-18,Obesitas,35
2020-08-18,Overig,121
2020-08-18,Parkinson,5
2020-08-18,Postpartum,0
2020-08-18,Zwangerschap,0
2020-08-25,Cardio-vasculaire aandoeningen en hypertensie,211
2020-08-25,Chronische longaandoeningen,114
2020-08-25,Chronische neurologische of neuromusculaire aandoeningen,72
2020-08-25,Dementie/Alzheimer,29
2020-08-25,Diabetes,125
2020-08-25,Immuundeficientie,8
2020-08-25,Leveraandoening,18
2020-08-25,Maligniteit,76
2020-08-25,Nieraandoening,42
2020-08-25,Obesitas,35
2020-08-25,Overig,121
2020-08-25,Parkinson,5
2020-08-25,Postpartum,0
2020-08-25,Zwangerschap,0
2020-09-01,Cardio-vasculaire aandoeningen en hypertensie,215
2020-09-01,Chronische longaandoeningen,114
2020-09-01,Chronische neurologische of neuromusculaire aandoeningen,72
2020-09-01,Dementie/Alzheimer,29
2020-09-01,Diabetes,127
2020-09-01,Immuundeficientie,8
2020-09-01,Leveraandoening,18
2020-09-01,Maligniteit,76
2020-09-01,Nieraandoening,42
2020-09-01,Obesitas,36
2020-09-01,Overig,121
2020-09-01,Parkinson,5
2020-09-01,Postpartum,0
2020-09-01,Zwangerschap,0
2020-09-08,Cardio-vasculaire aandoeningen en hypertensie,216
2020-09-08,Chronische longaandoeningen,114
2020-09-08,Chronische neurologische of neuromusculaire aandoeningen,72
2020-09-08,Dementie/Alzheimer,29
2020-09-08,Diabetes,128
2020-09-08,Immuundeficientie,8
2020-09-08,Leveraandoening,18
2020-09-08,Maligniteit,76
2020-09-08,Nieraandoening,42
2020-09-08,Obesitas,36
2020-09-08,Overig,121
2020-09-08,Parkinson,5
2020-09-08,Postpartum,0
2020-09-08,Zwangerschap,0
